iter	Passed	Remaining
398	370076	557434
399	370980	556471
400	371875	555494
401	372840	554622
402	373743	553659
403	374653	552707
404	375557	551745
405	376479	550809
406	377373	549833
407	378284	548882
408	379199	547938
409	380095	546967
410	381004	546013
411	381924	545077
412	382826	544114
413	383745	543175
414	384669	542244
415	385598	541320
416	386490	540344
417	387426	539431
418	388329	538471
419	389245	537529
420	390158	536583
421	391059	535621
422	391948	534643
423	392855	533690
424	393752	532723
425	394667	531782
426	395586	530845
427	396504	529908
428	397419	528965
429	398335	528026
430	399240	527071
431	400162	526139
432	401081	525203
433	402000	524267
434	402905	523313
435	403823	522377
436	404729	521425
437	405637	520475
438	406549	519531
439	407462	518588
440	408364	517631
441	409293	516709
442	410202	515762
443	411123	514830
444	412037	513888
445	412941	512936
446	413840	511976
447	414727	511003
448	415636	510056
449	416572	509143
450	417491	508209
451	418393	507255
452	419295	506301
453	420197	505348
454	421104	504399
455	422039	503485
456	422950	502543
457	423850	501587
458	424759	500642
459	425676	499707
460	426589	498767
461	427500	497825
462	428414	496887
463	429311	495928
464	430219	494983
465	431146	494060
466	432062	493125
467	432964	492173
468	433886	491244
469	434798	490304
470	435707	489361
471	436622	488425
472	437560	487514
473	438466	486568
474	439372	485622
475	440286	484684
476	441207	483755
477	442130	482829
478	443056	481904
479	443965	480962
480	444864	480009
481	445803	479100
482	446727	478173
483	447647	477244
484	448576	476323
485	449492	475389
486	450404	474450
487	451315	473511
488	452241	472587
489	453141	471636
490	454057	470703
491	454955	469750
492	455864	468810
493	456766	467861
494	457666	466912
495	458563	465959
496	459462	465009
497	460385	464083
498	461296	463145
499	462197	462197
500	463092	461243
501	464057	460359
502	464984	459437
503	465896	458501
504	466822	457578
505	467726	456634
506	468627	455687
507	469528	454740
508	470444	453808
509	471345	452861
510	472262	451930
511	473169	450989
512	474068	450041
513	474971	449097
514	475900	448178
515	476842	447270
516	477755	446336
517	478678	445411
518	479599	444484
519	480537	443573
520	481463	442650
521	482354	441696
522	483269	440764
523	484197	439843
524	485118	438916
525	486034	437985
526	486928	437034
527	487838	436098
528	488728	435143
529	489651	434219
530	490545	433268
531	491450	432328
532	492344	431378
533	493245	430435
534	494156	429500
535	495057	428557
536	495962	427617
537	496872	426682
538	497772	425738
539	498706	424823
540	499613	423886
541	500516	422945
542	501412	421999
543	502324	421065
544	503224	420123
545	504152	419203
546	505076	418280
547	505969	417332
548	506878	416397
549	507775	415452
550	508680	414514
551	509601	413589
552	510515	412658
553	511426	411725
554	512333	410790
555	513247	409859
556	514151	408921
557	515068	407993
558	515972	407055
559	516883	406122
560	517809	405201
561	518739	404284
562	519649	403351
563	520575	402431
564	521490	401501
565	522403	400571
566	523312	399637
567	524212	398696
568	525130	397770
569	526038	396835
570	526945	395901
571	527854	394967
572	528748	394023
573	529668	393098
574	530593	392178
575	531498	391241
576	532425	390322
577	533344	389397
578	534260	388469
579	535183	387546
580	536102	386621
581	537046	385713
582	537947	384775
583	538862	383847
584	539768	382912
585	540671	381975
586	541590	381050
587	542494	380114
588	543428	379200
589	544335	378267
590	545267	377351
591	546188	376427
592	547094	375493
593	547991	374553
594	548910	373628
595	549808	372689
596	550732	371767
597	551640	370835
598	552556	369908
599	553440	368960
600	554353	368031
601	555292	367120
602	556223	366203
603	557122	365265
604	558044	364342
605	558953	363412
606	559863	362481
607	560777	361553
608	561695	360628
609	562595	359692
610	563510	358765
611	564538	357910
612	565523	357026
613	566433	356096
614	567364	355179
615	568270	354246
616	569178	353314
617	570090	352385
618	571018	351466
619	571932	350539
620	572827	349599
621	573749	348677
622	574673	347755
623	575592	346831
624	576517	345910
625	577420	344976
626	578336	344050
627	579223	343106
628	580118	342168
629	581038	341244
630	581947	340315
631	582857	339385
632	583854	338506
633	584774	337582
634	585672	336646
635	586601	335727
636	587497	334790
637	588417	333867
638	589344	332947
